id,name,sex,dob,num_course_taken,career_path_name,hours_to_complete,time_spent_hrs,prcnt_complete,job_category,city,state
47,Malcom van der Voort,M,1990-02-08,12.0,frontend engineer,20.0,16.88,0.844,creative,Medora,Arkansas
48,Malcolm van Selm,M,1949-10-05,7.0,data analyst,12.0,6.62,0.5516666666666666,engineer,Boulder Flats,Arkansas
49,Adan Claes,M,1989-08-18,12.0,frontend engineer,20.0,11.08,0.554,engineer,Ropesville,North Carolina
50,Antony Horne,M,1996-05-29,2.0,,,,,software developer,Lenox,Texas
51,Valorie Rijnberk,N,1986-09-06,13.0,data scientist,20.0,15.83,0.7915,analytics,Moline Acres,Florida
52,Alisa Neil,F,1977-05-28,0.0,android developer,27.0,22.86,0.8466666666666667,financial services,Mosses,North Dakota
53,Ted Groot,N,1950-06-06,11.0,software engineering,25.0,19.73,0.7892,engineer,Haworth borough,Oklahoma
54,Lannie Frazier,F,1987-12-23,2.0,data scientist,20.0,4.76,0.238,software developer,Ocean Beach village,South Carolina
55,Omar Bunk,M,1955-11-08,14.0,,,,,software developer,Vermont village,South Carolina
56,Lincoln Hartman,M,1950-07-15,8.0,,,,,financial services,Southmont borough,West Virginia
57,Alix Carr,F,1942-08-31,6.0,android developer,27.0,18.44,0.682962962962963,engineer,Hollansburg village,Nevada
58,Emerita Kirkland,F,1966-07-15,10.0,data scientist,20.0,14.49,0.7245,software developer,South Salt Lake,South Carolina
59,Tyron van Riemsdijk,M,2002-07-29,12.0,android developer,27.0,6.17,0.2285185185185185,student,Estelline,Wyoming
60,Clarence Wintershoven,M,1949-09-06,14.0,iOS developer,27.0,1.23,0.04555555555555556,analytics,Royal Pines,Utah
61,Jule Schermerts,F,1981-03-14,0.0,data analyst,12.0,7.95,0.6625,education,Hazelwood,Georgia
62,Luanna Oliver,F,1993-09-13,1.0,data engineer,20.0,6.37,0.3185,financial services,Neligh,Kentucky
63,Zana Willems,F,1953-11-23,2.0,,,,,engineer,Thermalito,Virginia
64,Karl Foreman,M,1952-01-30,13.0,iOS developer,27.0,20.29,0.7514814814814814,creative,Warwick,Michigan
65,Jasmine Vos,F,1942-08-24,13.0,,,,,financial services,La Veta,Vermont
66,Kenny Hebert,M,1985-11-12,15.0,data engineer,20.0,10.32,0.516,analytics,West Union,Alabama
67,Landon Huang,N,1982-04-20,5.0,ux/ui designer,15.0,8.28,0.5519999999999999,creative,Fults village,New Jersey
68,Lashandra Jansdr,N,1990-12-31,4.0,data engineer,20.0,0.66,0.033,creative,Westwood village,Alabama
69,Cheryle Mcguire,F,1991-04-30,13.0,machine learning engineer,35.0,0.32,0.009142857142857144,analytics,Ragan village,New Mexico
70,Millard Nedermeyer,M,1948-06-27,6.0,data scientist,20.0,9.59,0.4795,creative,Lombard village,Florida
71,Chauncey Hooper,M,1962-04-07,0.0,data analyst,12.0,3.97,0.33083333333333337,software developer,Slaughterville,South Carolina
72,Genevie Huerta,F,1954-11-15,8.0,,,,,analytics,McDermitt,Montana
73,Leonardo Carey,N,1974-10-09,6.0,backend engineer,18.0,1.99,0.11055555555555556,analytics,Norman,South Carolina
74,Willis Burghout,M,1948-03-19,5.0,ux/ui designer,15.0,7.88,0.5253333333333333,HR,Colerain,Vermont
75,Junko Vermijn,N,1942-03-23,6.0,data scientist,20.0,15.47,0.7735000000000001,analytics,Creekside,Delaware
76,Ozie Vaughan,N,1976-06-25,2.0,ux/ui designer,15.0,7.16,0.47733333333333333,creative,Lostant village,Indiana
77,Alisia Dunlap,F,1958-02-25,1.0,data analyst,12.0,10.51,0.8758333333333334,education,Garden Plain,Delaware
78,Tammie Lagerweij,F,1990-11-03,14.0,data scientist,20.0,15.58,0.779,analytics,Kingsport,West Virginia
79,Kizzy Mendez,F,1952-09-26,4.0,machine learning engineer,35.0,35.79,1.0225714285714285,education,Clawson,New Hampshire
80,Vina Chan,F,1977-02-14,3.0,frontend engineer,20.0,3.22,0.161,education,Abbeville,Pennsylvania
81,Ellyn van Heest,F,1984-06-28,0.0,ux/ui designer,15.0,12.39,0.8260000000000001,software developer,Chicken,Delaware
82,Woodrow Rosieu,M,1995-11-13,1.0,backend engineer,18.0,6.03,0.335,education,Losantville,New Mexico
83,Tameka Weir,F,1981-12-16,2.0,iOS developer,27.0,6.6,0.24444444444444444,creative,Fairmount Heights,North Carolina
84,Erick Adkins,M,1950-06-09,14.0,frontend engineer,20.0,6.89,0.3445,HR,Harrisburg,California
85,Sherwood Guerra,M,2001-02-27,14.0,software engineering,25.0,22.81,0.9124,software developer,Harker Heights,Alaska
86,Lonna van der Beek,F,1960-08-03,4.0,ux/ui designer,15.0,9.62,0.6413333333333333,analytics,Peebles village,Alaska
87,Rosina Bender,F,1961-06-05,10.0,iOS developer,27.0,4.93,0.18259259259259258,engineer,Waynesboro,New York
88,Danilo van Zijderveld,M,1981-07-11,4.0,data analyst,12.0,12.52,1.0433333333333332,creative,East Brewton,Arkansas
89,Scott de Boef,M,1976-01-21,11.0,,,,,engineer,Pemberton borough,Pennsylvania
90,Everett Williams,M,1967-05-14,8.0,iOS developer,27.0,16.71,0.6188888888888889,creative,Fort Atkinson,New Jersey
91,Angelo Kloosterboer,M,1968-12-15,4.0,android developer,27.0,7.53,0.2788888888888889,creative,West Pensacola,Oklahoma
92,Mendy de Prijs,F,1984-10-15,2.0,machine learning engineer,35.0,8.21,0.2345714285714286,engineer,Guntersville,Wisconsin
93,Angella Lucas,N,1944-04-02,3.0,frontend engineer,20.0,16.82,0.841,financial services,Twin Hills,Texas
94,Kenneth Bean,N,1951-02-16,6.0,ux/ui designer,15.0,0.0,0.0,software developer,Edcouch,New York
95,Kylee Brown,F,1952-07-29,0.0,frontend engineer,20.0,18.98,0.9490000000000001,creative,Thornburg borough,New Mexico
96,Myesha Dudley,F,1980-09-28,2.0,ux/ui designer,15.0,4.73,0.31533333333333335,creative,Jewett,Delaware
97,Moises Krekel,M,2004-06-15,0.0,,,,,student,Radium Springs,North Carolina
98,Martin Ramirez,M,1963-12-24,0.0,frontend engineer,20.0,4.07,0.20350000000000001,education,Eldred village,Texas
99,Violette Mills,F,1999-11-04,5.0,software engineering,25.0,19.25,0.77,analytics,Radium Springs,Kansas
100,Elsy Rich,F,1982-03-11,12.0,machine learning engineer,35.0,26.09,0.7454285714285714,HR,Dunns,South Dakota
101,Marlin Salinas,N,1953-08-08,15.0,android developer,27.0,14.05,0.5203703703703704,HR,Nicoma Park,Tennessee
102,Benny Carlson,M,1999-01-23,9.0,software engineering,25.0,24.96,0.9984000000000001,education,Hamer,Arizona
103,Amado van Luijn,M,1986-01-21,11.0,iOS developer,27.0,0.82,0.030370370370370367,HR,Bellemeade,Iowa
104,Antone Hodge,M,1981-10-06,4.0,software engineering,25.0,11.11,0.44439999999999996,financial services,Bonney Lake,Texas
105,Darryl van Het kaar,M,1945-02-17,14.0,android developer,27.0,1.09,0.040370370370370376,engineer,Worley,New Hampshire
106,Kraig Hays,M,1986-11-28,11.0,ux/ui designer,15.0,0.37,0.024666666666666667,creative,Oak Creek,Alabama
107,Rubin Klarenbos,M,1999-01-09,10.0,iOS developer,27.0,6.89,0.2551851851851852,creative,Kanopolis,Iowa
108,Otto Sykes,M,1968-10-20,5.0,data engineer,20.0,14.97,0.7485,software developer,Worden village,Wisconsin
109,Ismael van der Veur,M,1963-06-23,15.0,backend engineer,18.0,8.85,0.49166666666666664,analytics,Rudyard,Georgia
110,Gricelda Chan,F,1950-04-21,15.0,data engineer,20.0,18.56,0.9279999999999999,engineer,Hidden Valley,Missouri
111,Craig van Zeijl,N,1955-08-24,15.0,data scientist,20.0,2.44,0.122,analytics,North Alamo,North Carolina
112,Brandie Montes,N,1975-03-29,12.0,android developer,27.0,27.44,1.0162962962962963,financial services,Ottumwa,Maine
113,Andreas Williamson,M,1947-10-18,5.0,data engineer,20.0,3.36,0.16799999999999998,HR,Filley village,Maine
114,Bethanie Dawson,F,1966-11-25,2.0,android developer,27.0,16.69,0.6181481481481482,software developer,Rankin village,South Carolina
115,Dale Stokes,M,1983-08-06,1.0,iOS developer,27.0,27.26,1.0096296296296297,education,Keyes,Montana
116,Pablo Smith,M,1978-07-05,2.0,android developer,27.0,11.28,0.41777777777777775,HR,Browns borough,South Dakota
117,Brent Carey,M,1982-12-20,3.0,data scientist,20.0,9.18,0.45899999999999996,software developer,Emporium borough,Alabama
118,Jeane Weenink,F,1968-06-24,0.0,iOS developer,27.0,1.87,0.06925925925925926,creative,Ammon,Kansas
119,Kenna van Haren,N,1944-08-27,1.0,ux/ui designer,15.0,8.1,0.5399999999999999,HR,Butlerville village,Washington
120,Shawnee Conley,F,1987-04-23,4.0,data analyst,12.0,12.97,1.0808333333333333,engineer,Worthington,Nebraska
121,Odilia Pael,F,1957-01-27,12.0,,,,,analytics,Atkins,Vermont
122,Milan Luna,N,1981-03-03,7.0,ux/ui designer,15.0,0.96,0.064,engineer,Stewartsville,Texas
123,Odis van Woudenberg,M,1961-05-13,13.0,data analyst,12.0,3.7,0.30833333333333335,engineer,West Brookfield,Florida
124,Pat Le,M,1943-03-01,7.0,android developer,27.0,5.93,0.21962962962962962,financial services,Dilley,North Dakota
125,Shaunna Sombaert,F,1995-05-18,4.0,backend engineer,18.0,4.28,0.23777777777777778,creative,Lebanon South,New Hampshire
126,Xavier Hallen,M,1971-12-13,1.0,frontend engineer,20.0,14.89,0.7445,creative,Lone Jack,Iowa
127,Lenny Pate,M,1955-10-21,14.0,machine learning engineer,35.0,6.77,0.19342857142857142,engineer,Bonneau,Alaska
128,Monroe van Versendaal,N,1949-05-27,1.0,android developer,27.0,21.93,0.8122222222222222,engineer,Sun village,Ohio
129,Benjamin van Waay,M,1984-02-15,6.0,ux/ui designer,15.0,9.88,0.6586666666666667,software developer,Kobuk,Nevada
130,Lorena Oneill,F,2001-05-27,4.0,iOS developer,27.0,25.74,0.9533333333333333,HR,Gardiner,Iowa
131,Eleonor Chayah,F,2004-10-06,10.0,android developer,27.0,22.1,0.8185185185185185,student,Wetherington,Maine
132,Corey Moon,M,1943-02-20,10.0,ux/ui designer,15.0,2.61,0.174,financial services,McDermitt,Georgia
133,Henry Estes,F,2002-07-25,2.0,backend engineer,18.0,17.96,0.9977777777777779,student,Seldovia Village,Massachusetts
134,Tomas Bosschaert,M,1984-06-02,0.0,machine learning engineer,35.0,18.02,0.5148571428571428,software developer,West Springfield,Nevada
135,Chase Buckner,M,1984-11-16,5.0,data engineer,20.0,4.98,0.24900000000000003,software developer,Greenback,Wyoming
136,Shonda Shaffer,F,1989-07-12,15.0,ux/ui designer,15.0,6.57,0.438,software developer,McIntosh,Kansas
137,Guillermina Lara,F,1967-06-13,1.0,data analyst,12.0,8.21,0.6841666666666667,creative,Summerfield village,Vermont
138,Foster Dodson,M,2001-06-22,1.0,software engineering,25.0,15.83,0.6332,education,Camilla,Connecticut
139,Erick Little,N,1954-06-06,10.0,backend engineer,18.0,1.67,0.09277777777777778,engineer,Sierra Madre,Maryland
140,Charlie Semvoort,N,2004-03-06,0.0,backend engineer,18.0,5.76,0.32,student,Whitesburg,South Carolina
141,Elanor Campbell,F,1957-07-30,9.0,software engineering,25.0,14.36,0.5744,financial services,Rebecca,Kentucky
142,Gustavo van Baal,M,1952-08-18,6.0,iOS developer,27.0,21.02,0.7785185185185185,software developer,Marysville borough,Oklahoma
143,Rickie Figueroa,M,1966-07-19,6.0,backend engineer,18.0,10.47,0.5816666666666667,financial services,Cove,Alabama
144,Marilou de Jong,F,2004-10-31,13.0,,,,,student,Chapmanville,New Jersey
145,Rosaria Stofberg,F,1954-05-19,11.0,data engineer,20.0,9.83,0.4915,HR,Womelsdorf borough,Mississippi
146,Hilton Guzman,N,1992-07-20,7.0,,,,,education,Fall River village,Hawaii
147,Dwayne Ward,M,1960-07-06,4.0,android developer,27.0,27.67,1.0248148148148148,financial services,Kings Point,Pennsylvania
148,Issac de Vries,M,1950-12-27,13.0,data scientist,20.0,2.4,0.12,financial services,Lyons Falls village,Louisiana
149,Emelda Miedema,F,1962-05-01,0.0,backend engineer,18.0,0.23,0.012777777777777779,creative,Haigler village,Maryland
150,Lindsey Mcclain,N,1972-11-30,0.0,machine learning engineer,35.0,21.79,0.6225714285714286,education,Hurlock,Tennessee
151,Petrina Veldman,F,1998-10-30,12.0,ux/ui designer,15.0,4.35,0.29,creative,Stock Island,Massachusetts
152,Neal Duyn,M,1969-08-31,7.0,backend engineer,18.0,14.56,0.8088888888888889,software developer,Twisp,Montana
153,Joaquin Hudson,M,1951-05-01,6.0,backend engineer,18.0,5.4,0.30000000000000004,HR,Ferry,Arizona
154,Shameka Mcgowan,F,1977-06-13,13.0,frontend engineer,20.0,10.15,0.5075000000000001,creative,Nikiski,Maine
155,Rosina Batenburg,N,1998-06-11,12.0,android developer,27.0,3.17,0.1174074074074074,engineer,Timberwood Park,Tennessee
156,Eliseo van Bentem,M,1988-03-30,2.0,software engineering,25.0,12.3,0.49200000000000005,software developer,Irving village,New York
157,Chadwick van Ommeren,M,1943-05-17,15.0,data analyst,12.0,12.08,1.0066666666666666,analytics,Fitzgerald,Georgia
158,Ching Rijkensz,N,1988-02-17,0.0,iOS developer,27.0,2.36,0.0874074074074074,software developer,Oaks,Texas
159,Alfredo Huig,M,1999-06-12,5.0,frontend engineer,20.0,12.61,0.6305,engineer,Cross Plains,Alaska
160,Sachiko van der Bilt,F,1969-06-20,4.0,,,,,software developer,McRoberts,Alaska
161,Phebe Sykes,F,1955-05-20,14.0,android developer,27.0,8.86,0.32814814814814813,education,Corona de Tucson,New York
162,Rickey van Rossum,M,1960-02-19,4.0,ux/ui designer,15.0,11.94,0.7959999999999999,creative,Elk Garden,Oregon
163,Glen Riley,M,2002-08-22,8.0,data analyst,12.0,5.7,0.47500000000000003,,Cornlea village,Tennessee
164,Yetta Liu,F,1987-07-30,8.0,data engineer,20.0,19.12,0.9560000000000001,education,Valley Park,Mississippi
165,Taylor van Kleef,F,1943-10-08,3.0,data analyst,12.0,1.91,0.15916666666666665,analytics,Woodcrest,Washington
166,Stanford Nash,M,1976-06-24,5.0,backend engineer,18.0,7.01,0.3894444444444444,creative,Riverdale Park,North Carolina
167,Jared Williams,M,1957-02-10,4.0,iOS developer,27.0,2.27,0.08407407407407408,financial services,Norman village,Texas
168,Elwood Holtendorp,M,1949-05-13,8.0,software engineering,25.0,4.56,0.18239999999999998,analytics,Brigham,Maine
169,Del van Waay,M,1968-07-18,7.0,data scientist,20.0,3.46,0.173,software developer,Tensed,Alabama
170,Norberto Mueller,M,1960-12-09,2.0,software engineering,25.0,22.08,0.8832,engineer,Bancroft,Vermont
171,Solomon England,M,1993-01-31,8.0,backend engineer,18.0,12.1,0.6722222222222222,education,Fort Scott,Nevada
172,Kerrie Mcdowell,F,1956-11-03,1.0,ux/ui designer,15.0,0.61,0.04066666666666666,HR,Nebo,Tennessee
173,Freddie Lapperre,M,1980-06-23,2.0,data scientist,20.0,13.13,0.6565000000000001,education,Richland Springs,North Dakota
174,Gwen Siimmons,F,1971-09-15,12.0,data analyst,12.0,7.33,0.6108333333333333,analytics,Walton,Vermont
175,Charlyn Palsgraaf,N,1972-03-31,6.0,data engineer,20.0,5.37,0.2685,analytics,Qulin,Alabama
176,Erin Battle,N,1973-04-23,1.0,backend engineer,18.0,14.87,0.826111111111111,engineer,Bradshaw,Michigan
177,Louis Ploegh,N,1956-01-15,0.0,data scientist,20.0,7.05,0.3525,education,Westmont,California
178,Burl Edwards,M,1968-10-15,1.0,,,,,software developer,Coyville,Nebraska
179,Ethan Patterson,M,1985-11-03,4.0,software engineering,25.0,21.21,0.8484,financial services,Waynoka,Mississippi
180,Arnita van Versendaal,F,1967-02-03,8.0,android developer,27.0,21.78,0.8066666666666668,creative,Eagle,Michigan
181,Jarrett Proctor,M,1971-10-05,10.0,backend engineer,18.0,17.06,0.9477777777777777,HR,Parksville,New York
182,Angelita Johnson,N,1978-09-16,6.0,android developer,27.0,25.66,0.9503703703703704,HR,Fort Hunt,Maine
183,Jacquetta Valdez,N,1997-08-12,13.0,iOS developer,27.0,14.66,0.542962962962963,creative,Enterprise,Wisconsin
184,Lee Mercer,M,1980-02-19,0.0,frontend engineer,20.0,3.48,0.174,analytics,Hobson,Missouri
185,Donny Hale,M,1981-05-31,12.0,iOS developer,27.0,27.98,1.0362962962962963,HR,Ives Estates,Alabama
186,Odis Reijdon,M,1980-07-12,9.0,ux/ui designer,15.0,5.11,0.3406666666666667,software developer,Dungannon,Idaho
187,Altagracia Shaw,F,1986-04-07,13.0,data analyst,12.0,4.02,0.33499999999999996,creative,Bowersville village,Idaho
188,Rosalinda Pietersen,F,1979-09-29,8.0,data analyst,12.0,2.81,0.23416666666666666,software developer,Cornelia,Iowa
189,Barbie Klapmuts,F,1994-04-11,11.0,frontend engineer,20.0,3.16,0.158,analytics,Iliamna,Connecticut
190,Lynn Warren,M,1945-09-05,2.0,android developer,27.0,6.26,0.23185185185185184,HR,Scraper,South Carolina
191,Arlen Downs,N,1945-10-07,11.0,data analyst,12.0,0.87,0.0725,financial services,Manning,Maine
192,Stevie Hewitt,M,1975-09-28,14.0,machine learning engineer,35.0,9.71,0.27742857142857147,HR,Samburg,Michigan
193,Myrtie Bosschaert,F,1998-02-15,1.0,android developer,27.0,5.02,0.1859259259259259,financial services,Framingham,Michigan
194,Queen Green,F,1980-10-09,3.0,android developer,27.0,17.05,0.6314814814814815,analytics,Magness,Alaska
195,Zackary van Veen,M,1980-06-26,0.0,frontend engineer,20.0,8.46,0.42300000000000004,software developer,Scandia,Tennessee
196,Micah Castaneda,M,1948-04-30,0.0,backend engineer,18.0,1.19,0.0661111111111111,education,Mountain Iron,Arkansas
197,Josef de Brijn,N,1973-11-11,6.0,android developer,27.0,0.56,0.020740740740740744,education,Westway,Rhode Island
198,Claudio van Nijenhuis,M,1962-07-15,15.0,data analyst,12.0,10.08,0.84,software developer,South Sioux,Oregon
199,Millie van der Klugt,F,1943-01-30,5.0,iOS developer,27.0,6.54,0.24222222222222223,creative,Adona,New Mexico
200,Dannette de Ridder,F,1946-10-26,8.0,android developer,27.0,17.85,0.6611111111111112,education,Roselle borough,New York
201,Barton Lorentz,M,1978-01-19,14.0,software engineering,25.0,18.14,0.7256,education,Thermalito,Mississippi
202,Josh Golden,M,1961-12-16,10.0,frontend engineer,20.0,2.91,0.14550000000000002,analytics,Rutherford,Montana
203,Bettie Torres,N,1973-06-05,0.0,machine learning engineer,35.0,6.04,0.17257142857142857,education,New Madison village,South Carolina
204,Delphine Terry,F,1958-09-04,11.0,machine learning engineer,35.0,3.99,0.114,financial services,Rawson village,Idaho
205,Kasey Conley,N,2002-06-02,5.0,backend engineer,18.0,16.95,0.9416666666666667,student,Streator,North Carolina
206,Alphonse van Helpen,M,2004-06-11,14.0,backend engineer,18.0,12.03,0.6683333333333333,student,White Hall,Nevada
207,Keturah Wintershoven,F,1973-01-23,0.0,backend engineer,18.0,12.05,0.6694444444444445,engineer,Stanley village,Maryland
208,Walton Richards,M,2004-02-20,7.0,frontend engineer,20.0,16.09,0.8045,student,Friedensburg,Michigan
209,Alan Roman,M,1988-08-12,1.0,,,,,education,Lake Purdy,Arkansas
210,Clyde Benskoop,M,1989-06-23,0.0,iOS developer,27.0,0.23,0.008518518518518519,HR,Kerr,Missouri
211,Broderick van Staveren,M,1944-10-27,12.0,backend engineer,18.0,15.89,0.8827777777777778,financial services,Box Elder,Texas
212,Izola Auderegg,N,1994-09-15,15.0,android developer,27.0,16.71,0.6188888888888889,software developer,Claiborne,Maine
213,Graig Jennings,M,1942-01-19,15.0,android developer,27.0,24.74,0.9162962962962963,financial services,Starr,Washington
214,Roni Santana,F,1985-08-03,4.0,frontend engineer,20.0,6.12,0.306,software developer,Shackelford,Colorado
215,Cristobal Zeeman,M,1961-05-04,15.0,,,,,HR,Scottsboro,Idaho
216,Martin Rollins,N,1958-08-20,15.0,backend engineer,18.0,8.72,0.48444444444444446,HR,Evening Shade,California
217,Leonie Snyder,N,1993-12-31,12.0,iOS developer,27.0,11.96,0.442962962962963,financial services,Bolingbrook village,Maryland
218,Norberto Chang,M,1942-01-18,10.0,data analyst,12.0,10.31,0.8591666666666667,financial services,Malone-Porter,South Carolina
219,Classie de Haas,F,1944-07-28,15.0,android developer,27.0,10.98,0.4066666666666667,software developer,Lake Buena Vista,Indiana
220,Israel Faulkner,M,1942-09-24,11.0,backend engineer,18.0,16.79,0.9327777777777777,HR,Louin,Maryland
221,Shonta Simmons,F,1997-01-26,13.0,software engineering,25.0,10.82,0.4328,creative,Burtrum,New Jersey
222,Ali de Kock,M,1960-03-12,4.0,data scientist,20.0,14.87,0.7434999999999999,HR,Arnett,Mississippi
223,Carlos Suarez,N,1966-03-22,13.0,frontend engineer,20.0,3.71,0.1855,engineer,Montana,New York
224,Clement Reijmerrs,M,1944-06-04,4.0,ux/ui designer,15.0,10.3,0.6866666666666668,creative,Rosendale,Indiana
225,Bettina Fry,F,1971-01-12,0.0,data engineer,20.0,16.85,0.8425,engineer,Moose Wilson Road,Missouri
226,Abe Petersen,M,1966-03-10,13.0,data engineer,20.0,14.45,0.7224999999999999,HR,Orchard village,Vermont
227,Maribel Gilliam,F,1988-01-28,3.0,ux/ui designer,15.0,8.58,0.572,HR,Killona,Ohio
228,Yuri Evans,N,1978-10-04,9.0,data engineer,20.0,2.82,0.141,engineer,Woodsfield village,South Carolina
229,Adria Thompson,N,2003-01-26,2.0,data scientist,20.0,13.72,0.686,student,South Dennis,Nebraska
230,Viviana Manning,F,1976-06-09,7.0,machine learning engineer,35.0,24.79,0.7082857142857143,engineer,Prescott village,Rhode Island
231,Daniel Mack,F,1991-05-08,8.0,ux/ui designer,15.0,4.36,0.2906666666666667,analytics,Hampton borough,Illinois
232,Cecil Blankenship,M,2001-11-18,0.0,software engineering,25.0,19.54,0.7816,creative,Whitsett,North Carolina
233,Rafael de Rek,M,1987-07-31,12.0,,,,,engineer,Gosnell,Ohio
234,Hung Neville,M,1974-11-04,14.0,backend engineer,18.0,5.91,0.32833333333333337,education,Perkasie borough,Indiana
235,Levi van Son,N,1996-04-11,15.0,iOS developer,27.0,20.23,0.7492592592592593,analytics,Keeneland,Montana
